Epoch,Train Loss,Val Loss,Train IoU,Val IoU
1,0.4873597568781801,0.417965048125812,0.03722651865919269,0.0677881016968054
2,0.40181096995523735,0.38302476704120636,0.03668092614504416,0.0725486502751412
3,0.3965010042338408,0.39244171657732557,0.043129177693051336,0.08072742996652986
4,0.3812395826328632,0.3622256985732487,0.05217654781263607,0.04279149018893669
5,0.3730266820783763,0.36967857075589045,0.05778906623994856,0.07354676270019518
6,0.3672163342089616,0.34606856427022387,0.06383575024753178,0.06217575834929244
7,0.3556823492512222,0.35898405047399656,0.06754183487726562,0.09621745654977443
8,0.35527563233708226,0.35080094635486603,0.06566198660677673,0.04692456711827415
9,0.35477585062500117,0.33756483080131666,0.06824860163056233,0.06973550782616338
10,0.3516701586948809,0.3542799837887287,0.06859191426147382,0.04547737557738864
11,0.35368484651395515,0.3418426625430584,0.06687171854879072,0.08833062144608474
12,0.3441267315038415,0.33467967063188553,0.07278999589815233,0.04964400109746053
13,0.3407344799633174,0.3366010119872434,0.07258925481005117,0.0783857499475475
14,0.34149762202602946,0.33719159769160406,0.07212021562676904,0.061080305943712214
15,0.341135817904805,0.35738854323114666,0.07284411125002942,0.10158275445488438
16,0.3427530881739402,0.35636570304632187,0.0727679219950308,0.10336049203324785
17,0.3387047266082246,0.3341120971100671,0.0741907670918727,0.08407271802014082
18,0.3376119791768318,0.35720801459891455,0.0745150932629722,0.10197287208126078
19,0.337548202322435,0.34054982555764063,0.07475091599051212,0.05204397300037227
20,0.3360799654971722,0.3369496113487652,0.0751810047980909,0.05638620914856586
21,0.33260518046774606,0.33662320726684164,0.07658273945327143,0.050747297226242445
22,0.33553364965342736,0.3413668211017336,0.07533559547877501,0.10845758978899889
23,0.33196214869502905,0.3336334728768894,0.07764475503763765,0.07599679307313914
24,0.33007974957310876,0.3355561787528651,0.0778141145675879,0.059749370861234
25,0.3282032376805017,0.3313928485981056,0.07952025112831496,0.08370930968797877
26,0.33013359763363537,0.406073411660535,0.07756270416874769,0.11907325790591414
27,0.3340760655412378,0.38428295297282083,0.07592584480674218,0.12969890936851472
28,0.3265542339446933,0.32406528134431156,0.07898474742340333,0.08267322212013284
29,0.3261686200781386,0.32166372558900286,0.08002009699648571,0.07311416757015439
30,0.32781759597534355,0.3413827696016857,0.07862845043195538,0.07486614821426997
31,0.3280099723921266,0.3665553123823234,0.0800977125688287,0.045369252475024914
32,0.32526905130046285,0.34398352674075533,0.07937909435411421,0.10849242509892838
33,0.32457271229851153,0.3268567733466625,0.08142223379027996,0.08917294240676336
34,0.32492734745953433,0.3453526997140476,0.08197289773568983,0.045985704403535665
35,0.3240856172502503,0.32307532003947664,0.08124773850774121,0.07993911209581661
36,0.3168282477661621,0.3157602846622467,0.0834550459210929,0.09777804996828639
37,0.31618996241758035,0.30907079364572254,0.08377871317235153,0.0853260364462771
38,0.31304097579893214,0.3115492894181183,0.08497204111570326,0.09496990692962716
39,0.311164634634358,0.3083701011325632,0.08602977162056225,0.08925929887605481
40,0.3104731264964555,0.311448193022183,0.08569195592366945,0.09363775408907024
41,0.31061997998130414,0.31156472489237785,0.08707704173066302,0.08473182057813436
42,0.3115813840729322,0.3060410762471812,0.0863380235122581,0.06668315034893799
43,0.308288584614909,0.3146077351910727,0.08722096444861772,0.09047259064358999
44,0.3109698293283004,0.3132098173456533,0.08581744226327634,0.07203327022973482
45,0.30715524746004,0.30463629215955734,0.08832562198685796,0.09644735282641773
46,0.30767186967901483,0.31537190292562756,0.0871539567190217,0.06806770311084931
47,0.31129217713840246,0.3165722409529345,0.08699085628682146,0.07995722740574449
48,0.3098952792180601,0.4517232019986425,0.08673021984970475,0.15647754256036303
49,0.3059299897777942,0.30329721527440207,0.08834315973447995,0.08676688320226371
50,0.3087277247231136,0.3017806352249214,0.08681730601593442,0.09449227593181887
51,0.30609840316365855,0.3089678058666842,0.0884280407146417,0.10131760961305378
52,0.3056396007999893,0.3093115639473711,0.08882217332672139,0.0696634340424063
53,0.30984985250835273,0.3278636687568256,0.08707038595194116,0.12054532386392337
54,0.3028757653033087,0.3334555003259863,0.09026193501901439,0.11559236107577471
55,0.30289451697076014,0.29430398983614786,0.08952649428646559,0.08744107963794494
56,0.30230158833108206,0.300973858152117,0.08931327076676751,0.07895362524237691
57,0.3041086572316266,0.31274272235376493,0.08918671637774382,0.07987535489240101
58,0.3034696969413018,0.299763312297208,0.08988356707693956,0.09146503305301242
59,0.30280410920002665,0.2977761796542576,0.08976652287716314,0.08666159451936965
60,0.2991632969342461,0.30587092148406164,0.09086651472704428,0.07824935042216115
61,0.30313991275868674,0.32076120536242214,0.08979714255808342,0.06822091631719897
62,0.29629699539306553,0.29157629715544836,0.09074192263431032,0.09641562871738438
63,0.29483989123688187,0.31930183672479223,0.09298672051652788,0.11860412700946059
64,0.2942120208758716,0.2915774317724364,0.0931289967982285,0.09654087246300444
65,0.29503736338874165,0.2880269485924925,0.09318206191756981,0.0950657574678324
66,0.2958962935809941,0.29402169744883266,0.09212713916197372,0.09552665000258813
67,0.29566526782605074,0.29823825880885124,0.09245143430992485,0.10602438442926412
68,0.29287328415138775,0.32907227160675184,0.0930531369629708,0.12286268732902836
69,0.29407993779163955,0.28971270631466595,0.0938927562849658,0.093882804350399
