Epoch,Train Loss,Val Loss,Train IoU,Val IoU
1,0.4873597568781801,0.417965048125812,0.03722651865919269,0.0677881016968054
2,0.40181096995523735,0.38302476704120636,0.03668092614504416,0.0725486502751412
3,0.3965010042338408,0.39244171657732557,0.043129177693051336,0.08072742996652986
4,0.3812395826328632,0.3622256985732487,0.05217654781263607,0.04279149018893669
5,0.3730266820783763,0.36967857075589045,0.05778906623994856,0.07354676270019518
6,0.3672163342089616,0.34606856427022387,0.06383575024753178,0.06217575834929244
7,0.3556823492512222,0.35898405047399656,0.06754183487726562,0.09621745654977443
8,0.35527563233708226,0.35080094635486603,0.06566198660677673,0.04692456711827415
9,0.35477585062500117,0.33756483080131666,0.06824860163056233,0.06973550782616338
10,0.3516701586948809,0.3542799837887287,0.06859191426147382,0.04547737557738864
11,0.35368484651395515,0.3418426625430584,0.06687171854879072,0.08833062144608474
12,0.3441267315038415,0.33467967063188553,0.07278999589815233,0.04964400109746053
13,0.3407344799633174,0.3366010119872434,0.07258925481005117,0.0783857499475475
14,0.34149762202602946,0.33719159769160406,0.07212021562676904,0.061080305943712214
15,0.341135817904805,0.35738854323114666,0.07284411125002942,0.10158275445488438
16,0.3427530881739402,0.35636570304632187,0.0727679219950308,0.10336049203324785
17,0.3387047266082246,0.3341120971100671,0.0741907670918727,0.08407271802014082
